,Malindi_MNP,Watamu_MNP,Mida_Creek,Kilifi_Reef,Vipingo_Reef,Mombasa_MNP,Bamburi_Reef,Nyali_Reef,Tiwi_Reef,Diani_Reef,Chale_Lagoon,Gazi_Bay,Funzi_Bay,Shimoni_Reef,Kisite_Mpunguti_MNP
Malindi_MNP,0.0,0.4806,0.3041,0.1452,0.1288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Watamu_MNP,0.1695,0.0,0.6111,0.3772,0.2054,0.0727,0.0757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mida_Creek,0.1529,0.1966,0.0,0.2031,0.1027,0.0674,0.0557,0.0889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilifi_Reef,0.1081,0.1357,0.1248,0.0,0.3689,0.104,0.177,0.1313,0.0,0.0557,0.0,0.0,0.0,0.0,0.0
Vipingo_Reef,0.0,0.0742,0.0642,0.1949,0.0,0.2085,0.2385,0.2552,0.1501,0.0507,0.0541,0.0577,0.0,0.0,0.0
Mombasa_MNP,0.0,0.0,0.0,0.1022,0.2345,0.0,0.2096,0.5337,0.3682,0.2927,0.1551,0.243,0.1147,0.1013,0.0811
Bamburi_Reef,0.0,0.0,0.0,0.1197,0.1156,0.3028,0.0,0.4038,0.1471,0.1553,0.0897,0.1286,0.0572,0.0821,0.0
Nyali_Reef,0.0,0.0,0.0,0.1009,0.1412,0.4033,0.379,0.0,0.2779,0.122,0.2093,0.1133,0.0911,0.0,0.0
Tiwi_Reef,0.0,0.0,0.0,0.0,0.0817,0.2404,0.1401,0.1312,0.0,0.3826,0.3016,0.3056,0.112,0.1064,0.1304
Diani_Reef,0.0,0.0,0.0,0.0,0.0,0.1397,0.0639,0.0856,0.1851,0.0,0.3406,0.3613,0.2955,0.1505,0.0973
Chale_Lagoon,0.0,0.0,0.0,0.0,0.0569,0.1338,0.0562,0.1282,0.1099,0.2866,0.0,0.3692,0.2496,0.189,0.1793
Gazi_Bay,0.0,0.0,0.0,0.0,0.0523,0.1185,0.0786,0.1242,0.1101,0.1775,0.3839,0.0,0.2316,0.1784,0.1721
Funzi_Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.0664,0.1386,0.1474,0.1626,0.1466,0.0,0.4912,0.2026
Shimoni_Reef,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1184,0.115,0.1964,0.2479,0.3439,0.0,0.6775
Kisite_Mpunguti_MNP,0.0,0.0,0.0,0.0,0.0,0.0704,0.0,0.0,0.1169,0.1035,0.208,0.1141,0.2096,0.5687,0.0
