reef_patch,in_degree,out_degree,betweenness,closeness,eigenvector,pagerank,local_clustering,community
Mombasa_MNP,1.8615,2.4361,0.35714285714285715,0.1202707223730566,0.2534292513054106,0.0767028822455493,0.16973430402006168,1
Tiwi_Reef,1.7223,1.932,0.049450549450549455,0.10035928457625613,0.2839085054333569,0.0758740175870411,0.2132337135042915,1
Nyali_Reef,1.9485,1.838,0.09890109890109891,0.1065464499260089,0.2585524380785148,0.07595556131855588,0.1980785941306382,1
Chale_Lagoon,2.1013,1.7587,0.1043956043956044,0.09646157745327574,0.3826519071574766,0.09676961262316688,0.23334146061379524,2
Diani_Reef,1.889,1.7195,0.09340659340659341,0.09066984724404739,0.3264571672945049,0.08332400350437708,0.18188997009165045,2
Shimoni_Reef,1.8676,1.6991,0.027472527472527476,0.08372218760514608,0.3552018282108585,0.09508889941677925,0.2921849332225967,2
Gazi_Bay,2.0873,1.6272,0.049450549450549455,0.09111754112393468,0.37843131053563417,0.09368614286265953,0.2221927149641332,2
Bamburi_Reef,1.5352999999999999,1.6019,0.0,0.09918008092177981,0.19265651215232,0.06193046757712004,0.14816556900261116,1
Watamu_MNP,0.8871,1.5116,0.06593406593406594,0.061563901414519576,0.014476834356241978,0.030546715714837597,0.17710135355492004,0
Funzi_Bay,1.7052,1.4164,0.05494505494505495,0.08576058422471607,0.3321298289821404,0.08363735117642837,0.23900712346044825,2
Kisite_Mpunguti_MNP,1.5403,1.3912,0.0,0.07697699441711468,0.3133227944228877,0.07973588333517809,0.2967595342778167,2
Vipingo_Reef,1.488,1.3481,0.35714285714285715,0.09694270601852308,0.1252348376277419,0.05270654291116337,0.13084660478667956,0
Kilifi_Reef,1.2431999999999999,1.2055,0.23626373626373628,0.07750173508124761,0.06441895540372665,0.04184382274320719,0.16013103869986103,0
Malindi_MNP,0.4305,1.0587,0.0,0.06573663612745055,0.0069969136197961515,0.020805384333067993,0.23442480838121815,0
Mida_Creek,1.1041999999999998,0.8673,0.0,0.06410039433889902,0.015963139361260502,0.03139271265086817,0.15794605886945923,0
