reef_patch,source_score,stepping_stone_score,hub_score,composite_score
Mombasa_MNP,1.0,1.0,0.9465,0.9822
Chale_Lagoon,0.8171,0.2923,1.0,0.7031
Vipingo_Reef,0.3531,1.0,0.5061,0.6197
Nyali_Reef,0.7225,0.2769,0.8432,0.6142
Gazi_Bay,0.7377,0.1385,0.9477,0.608
Diani_Reef,0.7148,0.2615,0.8435,0.6066
Tiwi_Reef,0.7649,0.1385,0.8412,0.5815
Shimoni_Reef,0.7793,0.0769,0.8418,0.566
Funzi_Bay,0.5785,0.1538,0.814,0.5154
Kisite_Mpunguti_MNP,0.5425,0.0,0.7052,0.4159
Bamburi_Reef,0.5268,0.0,0.655,0.3939
Kilifi_Reef,0.2199,0.6615,0.2281,0.3698
Watamu_MNP,0.2885,0.1846,0.0,0.1577
Malindi_MNP,0.0208,0.0,0.02,0.0136
Mida_Creek,0.0,0.0,0.0238,0.0079
